model,brand,price,rating,ratings_count,reviews_count,ram,rom,battery,display_inch,rear_camera,front_camera,processor
"MOTOROLA G96 5G (Pantone Cattleya Orchid, 128 GB)",MOTOROLA,18999.0,4.4,598.0,813.0,8,128,5500,6.67,50MP + 8MP,32MP,7s Gen 2 Processor
"realme P3 Lite 5G (Onyx Black, 128 GB)",realme,12999.0,4.3,264.0,516.0,4,128,6000,6.67,32MP,8MP,Dimensity 6300 Processor
"POCO C61  - Locked with Airtel Prepaid (Mystical Green, 64 GB)",POCO,7499.0,4.2,827.0,727.0,4,64,5000,6.71,8MP,5MP,Helio G36 Processor
"Ai+ Nova 5G (Purple, 128 GB)",Ai+,9999.0,4.2,597.0,815.0,6,128,5000,6.745,50MP,5MP,T8200 Processor
Kechaoda K115,Kechaoda,999.0,4.1,15.0,732.0,32,32,850,1.44,0.3MP + 0MP,0MP,NO Processor
MOTOROLA Moto A300,MOTOROLA,1315.0,4.1,65.0,54.0,4,32,1000,2.0,1.3MP + 0MP,0MP,Mtk Processor
"OPPO K14 5G (Icy Blue, 128 GB)",OPPO,17999.0,4.6,110.0,0.0,6,128,7000,6.75,50MP,8MP,Dimensity 6300 Processor
"Nothing Phone (4a) (White, 256 GB)",Nothing,37999.0,4.6,376.0,26.0,12,256,5400,6.78,50MP + 50MP + 8MP,32MP,Snapdragon 7s Gen 4 Processor
"Nothing Phone (4a) (White, 256 GB)",Nothing,34999.0,4.5,433.0,202.0,8,256,5400,6.78,50MP + 50MP + 8MP,32MP,Snapdragon 7s Gen 4 Processor
"POCO C85 5G (Mystic Purple, 128 GB)",POCO,12999.0,4.3,485.0,22.0,6,128,6000,6.9,50MP,8MP,Dimensity 6300 Processor
"MOTOROLA Edge 70 (PANTONE Gadget Gray, 256 GB)",MOTOROLA,29999.0,4.4,517.0,228.0,8,256,5000,6.7,50MP + 50MP,50MP,Snapdragon® 7 Gen 4 Processor
"vivo T4x 5G (Pronto Purple, 128 GB)",vivo,18999.0,4.4,552.0,671.0,8,128,6500,6.72,50MP + 2MP,8MP,Dimensity 7300 5G Processor
"OnePlus 15R 5G (Charcoal Black, 512 GB)",OnePlus,52778.0,4.6,832.0,51.0,12,512,7400,6.83,50MP,0,0
Kechaoda K112,Kechaoda,1625.0,4,179.0,837.0,32,64,3600,2.4,0.3MP + 0MP,0MP,No Processor
"Ai+ Nova 5G (Sparkle Red, 128 GB)",Ai+,9999.0,4.2,597.0,815.0,6,128,5000,6.745,50MP,5MP,T8200 Processor
"POCO M7 5G (Mint Green, 128 GB)",POCO,12499.0,4.1,989.0,637.0,6,128,5160,6.88,50MP,8MP,4 Gen 2 5G Processor
"Ai+ Nova 5G (Blue, 128 GB)",Ai+,9999.0,4.2,597.0,815.0,6,128,5000,6.745,50MP,5MP,T8200 Processor
Kechaoda K115,Kechaoda,999.0,4.1,15.0,732.0,32,32,850,1.44,0.3MP,0,0
Kechaoda A26_black,Kechaoda,889.0,4,112.0,146.0,32,16,800,0.66,0MP,0MP,NA Processor
"realme P4 Lite (Sea Blue, 128 GB)",realme,10499.0,4.4,859.0,17.0,4,128,6300,6.75,13MP,5MP,T7250 Processor
"POCO M7 Pro 5G (Olive Twilight, 128 GB)",POCO,13999.0,4.3,36.0,836.0,6,128,5110,6.67,50MP + 2MP,20MP,Dimensity 7025 Ultra Processor
"vivo T4x 5G (Glacial Teal, 256 GB)",vivo,20999.0,4.4,552.0,671.0,8,256,6500,6.72,50MP + 2MP,8MP,Dimensity 7300 5G Processor
"OPPO K13 Turbo Pro 5G (Purple Phantom, 256 GB)",OPPO,36999.0,4.5,461.0,42.0,12,256,7000,6.8,50MP + 2MP,16MP,8s Gen 4 Mobile Platform Processor
"OnePlus 15R 5G (Mint Breeze, 256 GB)",OnePlus,47745.0,4.6,832.0,51.0,12,256,7400,6.83,50MP,0,0
"Apple iPhone 17 Pro (Silver, 256 GB)",Apple,134900.0,4.7,999.0,77.0,0,0,0,6.3,48MP + 48MP + 48MP,18MP,"A19 Chip, 6 Core Processor Processor"
